 IND	    DX_1	    DX_2	    DX_3	    DX_4	    DY_1	    DY_2	    DY_3	    DY_4	    JEU1	    JEU2	    JEU3	    JEU4	    INT1	    INT2	    INT3	    INT4	      F1	      F2	      F3	      F4	     FIT	      TIME
1050	   0.026	   0.008	   0.057	   0.027	  -0.019	   0.006	  -0.028	   0.008	   0.158	   0.182	   0.160	   0.181	   0.052	   0.047	   0.042	   0.045	    6924	    6381	    7398	    7684	    7684	     03:33
1051	   0.022	   0.020	  -0.016	  -0.034	  -0.000	   0.090	  -0.024	   0.103	   0.194	   0.182	   0.188	   0.183	   0.044	   0.049	   0.045	   0.050	    6515	    6819	    7068	    7970	    7970	     03:41
1052	  -0.099	   0.017	   0.032	  -0.087	   0.002	  -0.002	   0.073	  -0.041	   0.145	   0.176	   0.189	   0.187	   0.052	   0.045	   0.051	   0.041	    9489	    3313	    5339	   10129	   10129	     03:41
1053	  -0.073	  -0.002	  -0.050	   0.052	   0.001	  -0.001	   0.061	   0.027	   0.189	   0.186	   0.182	   0.193	   0.053	   0.045	   0.045	   0.035	    7849	    5322	    9617	    5693	    9617	     03:41
1054	   0.085	   0.001	   0.029	   0.028	   0.012	   0.017	   0.146	   0.008	   0.166	   0.198	   0.177	   0.169	   0.052	   0.045	   0.045	   0.049	    5250	    6706	    8267	    8194	    8267	     05:03
1055	  -0.099	   0.006	  -0.032	   0.040	  -0.053	   0.051	  -0.026	   0.041	   0.188	   0.176	   0.186	   0.170	   0.054	   0.046	   0.050	   0.044	    8741	    5208	    8087	    6420	    8741	     03:41
1056	   0.013	  -0.018	   0.060	  -0.067	  -0.015	   0.015	   0.074	  -0.004	   0.176	   0.191	   0.178	   0.179	   0.045	   0.037	   0.042	   0.051	    6414	    6369	    5568	   10106	   10106	     03:45
1057	  -0.086	  -0.004	  -0.060	  -0.052	  -0.045	   0.019	  -0.034	  -0.056	   0.197	   0.178	   0.177	   0.194	   0.044	   0.048	   0.046	   0.048	    7560	    5185	    8203	    7358	    8203	     03:37
1058	  -0.005	   0.007	   0.024	  -0.027	  -0.037	   0.010	   0.009	  -0.036	   0.176	   0.143	   0.181	   0.175	   0.047	   0.041	   0.044	   0.047	    6320	    6795	    6596	    8697	    8697	     03:37
1059	   0.004	   0.088	   0.019	  -0.003	   0.027	   0.029	   0.086	  -0.030	   0.187	   0.178	   0.180	   0.174	   0.042	   0.042	   0.041	   0.041	    7541	    4462	    7710	    8832	    8832	     03:43
1060	   0.019	   0.015	  -0.038	   0.029	  -0.006	   0.017	   0.073	  -0.082	   0.183	   0.179	   0.200	   0.169	   0.047	   0.048	   0.044	   0.046	    6006	    6144	    8757	    7494	    8757	     04:11
1061	  -0.005	  -0.013	  -0.018	   0.055	  -0.010	   0.005	  -0.052	  -0.039	   0.201	   0.172	   0.171	   0.176	   0.045	   0.039	   0.046	   0.047	    5842	    7340	    9220	    6070	    9220	     03:41
1062	  -0.031	  -0.061	  -0.057	   0.001	  -0.075	   0.023	   0.021	   0.097	   0.167	   0.191	   0.182	   0.169	   0.047	   0.044	   0.044	   0.051	    7139	    6762	    7936	    6784	    7936	     03:33
1063	  -0.012	   0.061	  -0.027	   0.062	   0.054	   0.034	  -0.049	  -0.009	   0.191	   0.185	   0.186	   0.191	   0.044	   0.047	   0.046	   0.045	    7681	    5259	    9490	    6009	    9490	     03:43
1064	   0.016	  -0.002	   0.013	  -0.046	  -0.038	  -0.015	  -0.023	   0.058	   0.180	   0.173	   0.198	   0.180	   0.048	   0.047	   0.032	   0.036	    6395	    6869	    6217	    9159	    9159	     03:37
1065	   0.006	   0.002	   0.019	  -0.013	   0.043	   0.068	   0.083	   0.126	   0.181	   0.191	   0.176	   0.161	   0.037	   0.045	   0.039	   0.045	    6993	    6357	    6659	    8625	    8625	     03:47
1066	   0.081	  -0.018	   0.040	   0.014	  -0.039	   0.087	   0.023	   0.005	   0.175	   0.163	   0.183	   0.194	   0.041	   0.044	   0.042	   0.047	    4966	    8694	    7335	    7561	    8694	     03:53
1067	  -0.014	  -0.086	  -0.032	  -0.029	   0.142	  -0.065	   0.026	  -0.039	   0.184	   0.181	   0.207	   0.188	   0.047	   0.047	   0.042	   0.046	    5161	    7259	    7801	    8303	    8303	     03:31
1068	   0.032	   0.068	   0.053	   0.035	   0.064	   0.007	  -0.069	  -0.008	   0.179	   0.193	   0.184	   0.168	   0.040	   0.036	   0.035	   0.044	    7585	    5269	    7365	    8549	    8549	     03:43
1069	  -0.002	   0.019	   0.025	   0.031	   0.018	   0.002	  -0.035	  -0.008	   0.183	   0.185	   0.166	   0.168	   0.047	   0.046	   0.048	   0.046	    6962	    5939	    7869	    7588	    7869	     03:57
1070	  -0.062	  -0.039	   0.000	  -0.027	  -0.042	   0.038	  -0.003	  -0.012	   0.167	   0.173	   0.185	   0.176	   0.043	   0.043	   0.051	   0.045	    7589	    6152	    6651	    8077	    8077	     03:55
1071	   0.053	   0.013	  -0.067	  -0.060	  -0.037	  -0.008	   0.087	  -0.015	   0.165	   0.177	   0.179	   0.190	   0.047	   0.043	   0.049	   0.040	    5408	    6150	    8955	    7973	    8955	     04:05
1072	  -0.004	   0.007	   0.036	   0.043	   0.000	  -0.048	  -0.035	  -0.104	   0.181	   0.157	   0.177	   0.182	   0.048	   0.046	   0.040	   0.044	    6204	    6624	    8090	    7503	    8090	     03:43
1073	  -0.026	   0.048	  -0.052	   0.098	  -0.007	  -0.040	   0.000	   0.094	   0.185	   0.178	   0.182	   0.171	   0.043	   0.046	   0.044	   0.051	    7793	    5525	    9845	    5485	    9845	     03:49
1074	   0.027	   0.041	  -0.033	  -0.041	  -0.121	  -0.003	   0.008	   0.059	   0.186	   0.194	   0.169	   0.183	   0.041	   0.046	   0.041	   0.044	    7085	    5731	    8028	    7802	    8028	     04:53
1075	   0.043	   0.022	   0.030	   0.006	   0.004	  -0.048	   0.033	  -0.093	   0.197	   0.183	   0.179	   0.176	   0.048	   0.041	   0.044	   0.048	    5418	    6433	    7792	    8709	    8709	     03:49
1076	   0.093	  -0.014	  -0.017	   0.078	   0.013	   0.107	  -0.003	   0.023	   0.180	   0.191	   0.172	   0.182	   0.048	   0.046	   0.049	   0.047	    4776	    8497	    9630	    5435	    9630	     04:01
1077	  -0.034	   0.032	   0.070	   0.057	   0.023	  -0.006	  -0.035	   0.017	   0.190	   0.198	   0.175	   0.184	   0.041	   0.050	   0.042	   0.045	    8206	    5287	    7372	    7658	    8206	     04:52
1078	  -0.021	  -0.001	  -0.069	  -0.007	  -0.077	   0.079	   0.114	   0.013	   0.194	   0.168	   0.176	   0.183	   0.046	   0.044	   0.045	   0.045	    6672	    6260	    9280	    6442	    9280	     03:51
1079	  -0.004	   0.044	   0.023	  -0.015	   0.071	  -0.040	  -0.027	   0.074	   0.168	   0.190	   0.190	   0.185	   0.046	   0.045	   0.052	   0.047	    7827	    5023	    6949	    8724	    8724	     03:57
1080	   0.056	  -0.003	   0.017	   0.046	   0.003	   0.004	   0.026	  -0.070	   0.168	   0.194	   0.177	   0.186	   0.050	   0.044	   0.052	   0.050	    5715	    6785	    8610	    7108	    8610	     03:43
1081	  -0.120	  -0.044	   0.021	   0.042	   0.093	  -0.002	   0.022	   0.076	   0.178	   0.175	   0.175	   0.179	   0.047	   0.046	   0.053	   0.043	    8373	    5508	    7623	    7150	    8373	     05:08
1082	  -0.005	   0.019	  -0.016	  -0.003	   0.011	   0.078	  -0.106	   0.009	   0.181	   0.175	   0.185	   0.163	   0.046	   0.042	   0.042	   0.045	    7111	    6420	    7475	    7602	    7602	     03:33
1083	   0.032	  -0.025	   0.006	   0.085	  -0.005	   0.081	   0.073	   0.050	   0.184	   0.188	   0.177	   0.203	   0.049	   0.048	   0.042	   0.042	    5958	    7823	    9318	    5398	    9318	     03:51
1084	  -0.066	   0.007	  -0.006	   0.017	  -0.016	   0.065	  -0.012	  -0.031	   0.197	   0.171	   0.174	   0.181	   0.043	   0.042	   0.039	   0.048	    7610	    6000	    8017	    6927	    8017	     03:31
1085	   0.078	   0.033	  -0.059	   0.048	   0.138	   0.017	   0.008	   0.064	   0.200	   0.160	   0.196	   0.166	   0.045	   0.045	   0.041	   0.049	    4956	    7495	    9531	    6672	    9531	     04:05
1086	   0.070	  -0.046	  -0.065	   0.071	  -0.026	  -0.033	   0.078	  -0.033	   0.172	   0.171	   0.183	   0.190	   0.049	   0.048	   0.042	   0.044	    4094	    8249	   10869	    5164	   10869	     03:47
1087	  -0.060	  -0.048	  -0.102	  -0.006	   0.071	   0.009	   0.067	   0.045	   0.167	   0.182	   0.200	   0.186	   0.048	   0.047	   0.042	   0.040	    6965	    5898	    9201	    6372	    9201	     03:37
1088	  -0.009	   0.070	   0.005	   0.082	   0.063	   0.051	  -0.054	  -0.008	   0.195	   0.181	   0.161	   0.188	   0.043	   0.050	   0.045	   0.048	    7701	    5412	    9653	    5679	    9653	     04:08
1089	  -0.084	   0.047	  -0.013	   0.008	  -0.062	   0.047	   0.060	   0.027	   0.160	   0.189	   0.175	   0.171	   0.048	   0.046	   0.045	   0.048	    9898	    3510	    7647	    7432	    9898	     04:23
1090	  -0.020	  -0.016	  -0.006	  -0.033	  -0.043	   0.061	  -0.050	   0.036	   0.182	   0.160	   0.164	   0.184	   0.049	   0.053	   0.042	   0.047	    6562	    7080	    7332	    7391	    7391	     03:39
