 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
  39	 0.022	 0.021	-0.032	-0.020	 0.010	 0.013	-0.032	-0.016	 0.098	 0.093	 0.077	 0.079	 0.048	 0.044	 0.045	 0.043	  6072	  6100	  8380	  7769	  8380	   03:49
  40	 0.007	 0.031	-0.008	-0.008	-0.007	-0.021	-0.017	 0.034	 0.075	 0.074	 0.106	 0.072	 0.046	 0.049	 0.048	 0.042	  7094	  5884	  6925	  8514	  8514	   03:51
  41	-0.014	-0.013	 0.025	-0.019	-0.036	-0.040	-0.019	 0.012	 0.074	 0.075	 0.073	 0.083	 0.048	 0.044	 0.042	 0.045	  6905	  6426	  6908	  8251	  8251	   03:56
  42	-0.025	 0.029	 0.029	 0.009	-0.003	-0.009	 0.011	-0.042	 0.096	 0.073	 0.082	 0.064	 0.047	 0.042	 0.045	 0.041	  7020	  5635	  7034	  8699	  8699	   03:34
  43	 0.004	 0.035	 0.011	-0.005	-0.001	 0.016	-0.002	 0.010	 0.090	 0.070	 0.095	 0.084	 0.045	 0.040	 0.045	 0.046	  6838	  6226	  7116	  8240	  8240	   03:26
  44	 0.004	 0.003	 0.011	-0.005	 0.020	 0.022	-0.014	-0.005	 0.092	 0.060	 0.069	 0.055	 0.041	 0.047	 0.049	 0.052	  5833	  6982	  7158	  8263	  8263	   03:18
  45	 0.025	-0.016	 0.014	 0.005	 0.004	 0.002	-0.019	 0.003	 0.071	 0.065	 0.082	 0.075	 0.045	 0.044	 0.042	 0.035	  5851	  7461	  7377	  7874	  7874	   03:18
  46	-0.005	 0.016	 0.005	 0.017	 0.001	 0.013	 0.042	-0.025	 0.075	 0.089	 0.078	 0.081	 0.046	 0.047	 0.045	 0.047	  7158	  5516	  8068	  7526	  8068	   03:12
  47	 0.019	 0.010	 0.005	-0.001	-0.000	 0.012	-0.021	-0.010	 0.087	 0.064	 0.070	 0.067	 0.039	 0.043	 0.059	 0.038	  5812	  6927	  7673	  7909	  7909	   03:12
  48	 0.000	 0.004	-0.005	-0.016	 0.003	-0.001	 0.005	 0.044	 0.091	 0.103	 0.066	 0.058	 0.044	 0.045	 0.039	 0.043	  6754	  5873	  7499	  8348	  8348	   03:16
  49	 0.023	-0.033	-0.014	 0.023	-0.010	 0.001	 0.012	-0.010	 0.086	 0.079	 0.080	 0.083	 0.050	 0.049	 0.052	 0.055	  5271	  7567	  8482	  6728	  8482	   03:13
  50	-0.031	 0.005	-0.026	 0.003	 0.023	 0.015	 0.001	-0.015	 0.068	 0.074	 0.096	 0.083	 0.044	 0.041	 0.047	 0.045	  7479	  5655	  7844	  7390	  7844	   03:16
  51	 0.032	-0.037	-0.009	 0.012	 0.024	 0.013	-0.002	-0.021	 0.078	 0.087	 0.077	 0.080	 0.049	 0.053	 0.049	 0.039	  5299	  7426	  8305	  7171	  8305	   03:44
  52	 0.007	-0.013	-0.003	-0.007	-0.015	-0.029	-0.027	-0.005	 0.089	 0.093	 0.072	 0.097	 0.051	 0.046	 0.048	 0.046	  6147	  6577	  8268	  7265	  8268	   03:46
  53	 0.005	 0.009	-0.018	 0.000	 0.011	-0.017	 0.010	 0.020	 0.079	 0.080	 0.068	 0.087	 0.045	 0.048	 0.048	 0.039	  6475	  6169	  8624	  7115	  8624	   03:12
  54	 0.003	-0.012	-0.011	 0.000	-0.019	-0.014	-0.005	 0.015	 0.074	 0.061	 0.078	 0.072	 0.048	 0.043	 0.046	 0.044	  6125	  7014	  7729	  7530	  7729	   03:18
  55	 0.014	 0.023	 0.021	 0.019	-0.031	-0.011	 0.008	 0.011	 0.090	 0.077	 0.087	 0.102	 0.041	 0.043	 0.041	 0.050	  6687	  6634	  7852	  7321	  7852	   03:36
  56	-0.016	 0.015	-0.001	-0.007	-0.020	 0.007	 0.009	-0.017	 0.083	 0.088	 0.078	 0.063	 0.046	 0.047	 0.041	 0.038	  7183	  5468	  7360	  8358	  8358	   03:13
  57	-0.006	 0.001	 0.005	 0.009	-0.016	-0.019	 0.010	-0.017	 0.076	 0.086	 0.072	 0.087	 0.052	 0.044	 0.042	 0.050	  6874	  5941	  8114	  7317	  8114	   03:19
  58	 0.014	-0.002	-0.005	-0.006	-0.004	 0.014	 0.003	 0.010	 0.072	 0.083	 0.083	 0.074	 0.045	 0.038	 0.039	 0.048	  6580	  6451	  7500	  7936	  7936	   03:17
  59	-0.001	-0.001	-0.000	-0.003	 0.031	-0.011	-0.015	-0.007	 0.088	 0.079	 0.077	 0.085	 0.041	 0.042	 0.051	 0.039	  6292	  6476	  8010	  7710	  8010	   03:07
  60	 0.020	-0.035	 0.001	-0.007	-0.012	-0.004	-0.020	-0.004	 0.068	 0.092	 0.075	 0.064	 0.047	 0.047	 0.047	 0.036	  6055	  6849	  7379	  8089	  8089	   03:24
