 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
 112	 0.008	-0.036	-0.042	 0.083	 0.032	-0.031	-0.004	-0.035	 0.119	 0.140	 0.127	 0.102	 0.047	 0.052	 0.043	 0.047	  5959	  6781	  9650	  5866	  9650	   02:31
 113	 0.017	-0.023	 0.014	 0.002	-0.010	 0.033	-0.053	 0.033	 0.134	 0.111	 0.135	 0.136	 0.047	 0.045	 0.050	 0.051	  5709	  7970	  7300	  7425	  7970	   02:31
 114	 0.012	 0.009	 0.020	 0.019	-0.012	-0.011	-0.024	-0.018	 0.147	 0.115	 0.114	 0.157	 0.046	 0.046	 0.046	 0.049	  5852	  7197	  8590	  6703	  8590	   02:32
 115	 0.043	 0.045	 0.016	-0.002	 0.008	-0.024	-0.008	 0.027	 0.129	 0.128	 0.134	 0.133	 0.042	 0.047	 0.039	 0.043	  6477	  6235	  7517	  8293	  8293	   02:31
 116	-0.022	 0.007	 0.018	 0.012	 0.002	 0.007	 0.081	 0.047	 0.130	 0.131	 0.141	 0.114	 0.044	 0.040	 0.049	 0.041	  7395	  5820	  6941	  8412	  8412	   02:34
 117	-0.001	 0.005	-0.005	-0.039	-0.031	-0.023	 0.004	-0.008	 0.131	 0.118	 0.126	 0.130	 0.042	 0.041	 0.052	 0.042	  6323	  6287	  7348	  8447	  8447	   02:33
 118	-0.025	-0.005	-0.005	 0.003	-0.030	 0.036	-0.027	 0.008	 0.142	 0.125	 0.130	 0.146	 0.041	 0.052	 0.039	 0.046	  6915	  6734	  7890	  6922	  7890	   02:31
 119	-0.013	 0.000	 0.089	 0.033	-0.010	 0.041	-0.040	-0.012	 0.134	 0.123	 0.133	 0.128	 0.049	 0.043	 0.047	 0.045	  7161	  6898	  6195	  8298	  8298	   03:04
 120	 0.025	 0.008	-0.047	 0.046	-0.012	 0.009	 0.061	-0.059	 0.133	 0.124	 0.130	 0.119	 0.043	 0.046	 0.047	 0.045	  5606	  6534	  9710	  6537	  9710	   02:42
 121	 0.039	-0.022	 0.036	 0.013	-0.054	 0.016	 0.009	-0.014	 0.141	 0.129	 0.139	 0.128	 0.050	 0.044	 0.046	 0.053	  5456	  7726	  6979	  8143	  8143	   02:42
 122	-0.033	 0.027	-0.044	-0.020	-0.008	 0.010	-0.016	-0.020	 0.124	 0.121	 0.122	 0.142	 0.043	 0.047	 0.045	 0.036	  7486	  5250	  8670	  7040	  8670	   02:25
 123	-0.008	-0.065	 0.003	 0.072	-0.008	-0.003	 0.000	 0.015	 0.118	 0.149	 0.106	 0.120	 0.044	 0.048	 0.048	 0.047	  6409	  7226	  8964	  5797	  8964	   02:34
 124	-0.000	 0.041	 0.009	-0.067	 0.006	-0.041	-0.010	-0.011	 0.134	 0.123	 0.135	 0.138	 0.043	 0.045	 0.043	 0.045	  6873	  5437	  6659	  9469	  9469	   02:34
 125	 0.001	 0.045	 0.029	-0.007	 0.028	-0.011	 0.020	 0.004	 0.106	 0.133	 0.135	 0.133	 0.048	 0.040	 0.049	 0.040	  7910	  4806	  7014	  8687	  8687	   02:32
 126	 0.019	 0.004	 0.002	 0.048	 0.063	-0.029	-0.019	-0.021	 0.139	 0.143	 0.150	 0.129	 0.044	 0.042	 0.035	 0.052	  6298	  6484	  8352	  7392	  8352	   02:34
 127	-0.056	 0.042	 0.024	-0.012	 0.062	-0.016	 0.032	 0.048	 0.133	 0.116	 0.113	 0.125	 0.045	 0.049	 0.044	 0.042	  8021	  4836	  7230	  8370	  8370	   02:48
 128	-0.041	-0.006	-0.008	 0.011	 0.046	 0.055	-0.038	 0.019	 0.135	 0.133	 0.138	 0.124	 0.036	 0.045	 0.050	 0.042	  7452	  6105	  7627	  7399	  7627	   02:27
 129	-0.014	-0.037	 0.014	 0.029	-0.050	 0.030	-0.001	-0.028	 0.147	 0.132	 0.131	 0.126	 0.050	 0.042	 0.050	 0.048	  6159	  7328	  7671	  7212	  7671	   02:29
 130	-0.038	-0.018	-0.012	 0.003	 0.024	 0.078	 0.028	 0.020	 0.145	 0.129	 0.139	 0.130	 0.046	 0.049	 0.047	 0.044	  6851	  6684	  7503	  7333	  7503	   02:27
 131	-0.004	-0.080	 0.021	 0.038	 0.019	 0.006	 0.020	 0.005	 0.140	 0.134	 0.129	 0.114	 0.046	 0.052	 0.047	 0.047	  5242	  8123	  7559	  7379	  8123	   03:04
 132	-0.027	 0.006	-0.012	-0.001	-0.080	 0.030	 0.003	-0.019	 0.124	 0.123	 0.135	 0.113	 0.049	 0.041	 0.045	 0.045	  7569	  5927	  7209	  7797	  7797	   02:28
 133	 0.030	-0.033	 0.009	-0.034	-0.042	-0.047	-0.026	-0.032	 0.117	 0.126	 0.107	 0.134	 0.047	 0.056	 0.040	 0.047	  5408	  7137	  7677	  8001	  8001	   02:33
 134	-0.069	-0.052	-0.006	 0.035	-0.017	 0.047	-0.044	 0.012	 0.139	 0.147	 0.120	 0.127	 0.045	 0.049	 0.050	 0.044	  7510	  6584	  8109	  6262	  8109	   02:48
 135	-0.012	-0.002	-0.050	 0.001	 0.052	-0.014	 0.040	-0.005	 0.129	 0.126	 0.112	 0.136	 0.042	 0.040	 0.034	 0.046	  6296	  6051	  9577	  6623	  9577	   02:31
 136	 0.003	 0.018	-0.021	-0.034	-0.000	 0.063	-0.001	-0.031	 0.151	 0.126	 0.139	 0.131	 0.046	 0.043	 0.045	 0.053	  6158	  6479	  7425	  8257	  8257	   02:31
 137	-0.043	-0.007	-0.001	-0.041	 0.001	-0.008	 0.011	 0.023	 0.128	 0.119	 0.123	 0.113	 0.048	 0.057	 0.045	 0.046	  7150	  5793	  6593	  8644	  8644	   02:35
 138	-0.031	-0.100	 0.011	 0.060	 0.025	 0.038	-0.000	 0.025	 0.113	 0.125	 0.131	 0.132	 0.043	 0.041	 0.043	 0.043	  6280	  8374	  8066	  6039	  8374	   02:42
 139	 0.010	 0.053	 0.060	 0.016	-0.028	 0.021	-0.052	-0.023	 0.145	 0.111	 0.118	 0.128	 0.048	 0.045	 0.044	 0.047	  6818	  6390	  7012	  8171	  8171	   02:31
 140	 0.009	-0.032	 0.023	-0.054	-0.013	-0.019	 0.017	 0.003	 0.127	 0.128	 0.133	 0.121	 0.043	 0.044	 0.042	 0.046	  5924	  6944	  6105	  9453	  9453	   02:35
 141	 0.005	-0.048	-0.057	 0.015	 0.013	 0.021	 0.041	-0.066	 0.112	 0.134	 0.121	 0.127	 0.045	 0.042	 0.048	 0.051	  5687	  6802	  9432	  6359	  9432	   02:27
 142	 0.016	 0.024	-0.027	 0.023	-0.004	 0.062	 0.005	 0.042	 0.137	 0.128	 0.118	 0.122	 0.048	 0.041	 0.042	 0.044	  6535	  6526	  8712	  6660	  8712	   02:39
 143	-0.018	 0.017	-0.026	 0.038	-0.006	 0.050	-0.002	 0.023	 0.136	 0.134	 0.125	 0.134	 0.051	 0.046	 0.049	 0.040	  7254	  6022	  8887	  6198	  8887	   02:35
 144	-0.021	 0.078	-0.020	-0.031	-0.018	 0.014	-0.025	 0.001	 0.136	 0.135	 0.135	 0.128	 0.048	 0.041	 0.050	 0.049	  8124	  4151	  7503	  8465	  8465	   02:49
 145	 0.003	 0.029	 0.043	 0.022	 0.055	-0.034	 0.057	-0.045	 0.137	 0.127	 0.134	 0.111	 0.051	 0.043	 0.051	 0.050	  6462	  5583	  7167	  8990	  8990	   02:35
 146	 0.007	-0.007	-0.054	-0.014	-0.023	-0.047	 0.034	 0.001	 0.131	 0.146	 0.124	 0.124	 0.041	 0.045	 0.041	 0.042	  6143	  6013	  8987	  7400	  8987	   02:37
 147	 0.023	-0.040	-0.110	-0.049	-0.011	-0.032	-0.045	 0.006	 0.130	 0.118	 0.119	 0.140	 0.053	 0.042	 0.043	 0.044	  4688	  7525	  9773	  6366	  9773	   02:35
 148	-0.025	 0.009	-0.025	 0.026	 0.022	-0.037	-0.026	-0.005	 0.126	 0.137	 0.128	 0.129	 0.051	 0.046	 0.040	 0.041	  7296	  5511	  8739	  6886	  8739	   02:32
 149	 0.012	 0.016	 0.063	-0.024	-0.002	-0.030	 0.014	 0.032	 0.120	 0.144	 0.123	 0.145	 0.038	 0.051	 0.047	 0.043	  7312	  5804	  6402	  8945	  8945	   02:31
 150	-0.015	-0.019	-0.029	-0.004	-0.027	-0.006	-0.030	 0.029	 0.131	 0.135	 0.120	 0.127	 0.054	 0.036	 0.051	 0.045	  6584	  6412	  8268	  7098	  8268	   02:27
 151	-0.038	-0.029	 0.013	-0.022	-0.011	 0.006	 0.037	-0.087	 0.131	 0.125	 0.129	 0.140	 0.041	 0.040	 0.042	 0.048	  6636	  6353	  7321	  8208	  8208	   02:31
 152	 0.045	-0.034	-0.026	-0.007	 0.024	-0.025	-0.015	 0.046	 0.154	 0.125	 0.133	 0.143	 0.041	 0.044	 0.044	 0.051	  4406	  8376	  8504	  7198	  8504	   02:25
 153	-0.033	 0.020	 0.053	 0.010	 0.009	 0.040	 0.007	 0.072	 0.125	 0.134	 0.120	 0.120	 0.049	 0.048	 0.046	 0.038	  8277	  5515	  6423	  8324	  8324	   02:35
 154	 0.054	 0.017	-0.036	 0.015	 0.005	-0.015	-0.066	 0.044	 0.125	 0.136	 0.128	 0.117	 0.046	 0.043	 0.044	 0.047	  6000	  6821	  8607	  7120	  8607	   02:39
 155	-0.001	-0.030	 0.050	 0.028	-0.055	-0.014	-0.014	 0.007	 0.130	 0.137	 0.124	 0.109	 0.046	 0.037	 0.044	 0.040	  6680	  6969	  6745	  8240	  8240	   02:36
 156	 0.011	-0.017	 0.017	-0.015	-0.031	-0.016	 0.033	-0.039	 0.132	 0.122	 0.139	 0.138	 0.048	 0.047	 0.045	 0.047	  5871	  6932	  7182	  8323	  8323	   02:37
 157	-0.006	-0.025	 0.038	 0.050	 0.020	-0.030	 0.043	-0.015	 0.132	 0.098	 0.134	 0.123	 0.044	 0.039	 0.042	 0.046	  5744	  7628	  7604	  7543	  7628	   02:41
 158	 0.008	-0.026	 0.039	-0.029	-0.009	 0.006	-0.035	-0.036	 0.135	 0.126	 0.142	 0.107	 0.045	 0.051	 0.043	 0.049	  5875	  7108	  5720	  9558	  9558	   02:41
 159	-0.021	-0.014	 0.006	-0.042	-0.066	-0.020	 0.047	-0.007	 0.123	 0.127	 0.129	 0.138	 0.039	 0.044	 0.045	 0.050	  7116	  6062	  6972	  8377	  8377	   02:27
